"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"21948",21948,2.57449701911665,-2.75758780451654,4.74480095268729,0.000459673406319755,0.00362871054619251,-0.139574345643093,"Cd70"
"52276",52276,2.52951098178114,2.99747100591416,4.74414483105813,0.000460193605022935,0.00362919148392339,0.220556570738156,"Cdca8"
"68355",68355,3.79106472285316,-0.738920278714781,4.71874868905889,0.000480808576908973,0.0037450462047656,-0.561868729672743,"2010204K13Rik"
"67629",67629,2.5072680064968,2.0248254648364,4.67798688202069,0.000515936052841158,0.003946686049904,0.0751545606151645,"Spc24"
"84506",84506,3.14420925132218,-2.48913091029292,4.66187277987478,0.000530552327741227,0.00401958244852462,-0.551583702302972,"Hamp"
"12978",12978,4.87707077176044,-0.765870528214717,4.6016815256672,0.000589082466500718,0.0043201203250939,-0.538652813219618,"Csf1r"
"66468",66468,2.83409489657888,0.996232233330413,4.58503419558634,0.00060643140662564,0.00440038657039101,-0.321702369460779,"Ska1"
"12236",12236,2.41856807119256,2.96148570734931,4.57307354458155,0.000619224303644447,0.00447267865392908,-0.0604264714329661,"Bub1b"
"434175",434175,3.19786105185617,0.674638782470954,4.56940082907593,0.000623208760711913,0.00449119528239447,-0.320332364914815,"Ccnb1-ps"
"71988",71988,2.22266528565439,1.70110687958061,4.55224401695477,0.000642178817968399,0.00457987095630532,-0.126876797701002,"Esco2"
"22044",22044,4.20238889261446,-1.84373896958494,4.55097223071759,0.000643608752016381,0.00458181150641706,-0.329306504539594,"Trh"
"269116",269116,2.56142415047887,0.866222411244448,4.54889328761473,0.000645953359696813,0.0045964191340155,-0.124158589725213,"Nfasc"
"218977",218977,2.20618927213041,1.5717011890097,4.48869721617949,0.000717845121111549,0.00496708594310286,-0.22245210649533,"Dlgap5"
"15558",15558,2.7747017820408,-2.20743894038617,4.46317968628001,0.000750789009011592,0.00513879146748341,-0.267291997333226,"Htr2a"
"70218",70218,2.34220613286577,1.94207617598735,4.44956541080472,0.00076900510116613,0.00523003671458085,-0.2606959363028,"Kif18b"
"232313",232313,2.68461984275118,-2.0758573086112,4.44103453777559,0.000780653234390563,0.00528143994704985,-0.842833970999981,"Gxylt2"
"69480",69480,2.85465928650262,0.508978234018133,4.42073563222846,0.000809113100663832,0.00543212550675072,-0.778045713991574,"Ttc9"
"268697",268697,2.21974472704982,1.90067793575954,4.41621169321219,0.000815601545342535,0.00546176560279382,-0.311912284602013,"Ccnb1"
"12262",12262,3.84526153642104,-2.09970934383101,4.38214860346784,0.000866226351066985,0.00568987583219561,-0.821918457772182,"C1qc"
"69540",69540,5.02664921131934,1.51322073204004,4.34137617965002,0.000931143125176187,0.00602118901402801,-1.14342357701492,"Klk10"
"101533",101533,3.22178582492511,-2.64794946835183,4.32653229704217,0.000956013909543231,0.00612686286553983,-1.38023475223068,"Klk9"
"100504539",100504539,3.96096869488065,-0.882412338114255,4.32422966788799,0.000959933276385373,0.0061372185503527,-1.30717443838062,"Gm20275"
"170711",170711,3.71945949601595,-2.27167115425443,4.26914002365396,0.00105884501948261,0.00657731605674352,-1.3838624209605,"Otud7a"
"66451",66451,2.97427320843686,0.795251359355356,4.26874119746683,0.00105959842897528,0.00657733447428332,-1.1267339272037,"2610528J11Rik"
"232670",232670,3.45382926471155,2.36998838687282,4.26567283594767,0.00106541338605491,0.00660564658815686,-0.764981331782548,"Tspan33"
"110935",110935,5.32189082646461,2.37082498496025,4.25605241326526,0.00108386076046183,0.00668042811679818,-1.22190957578401,"Atp6v1b1"
